,Technique,Number of source models,Fraction of sampled points,Average correctness seen (mean),Average correctness unseen (mean)
43,"Random (subtask stratified, equal)",50,10,0.6131102040816326,0.612734693877551
44,Diversity,50,10,0.6505510204081633,0.6493469387755102
45,Stratified sampling (confidence),50,10,0.6816122448979591,0.6818163265306122
46,Anchor Points,50,10,0.8864,0.8868081632653061
47,tinyBenchmarks,50,10,0.6543510204081633,0.654138775510204
48,Random (uniform),50,25,0.7485714285714286,0.7482612244897959
49,"Random (subtask stratified, equal)",50,25,0.7296816326530612,0.727869387755102
50,Diversity,50,25,0.7603673469387755,0.7591632653061224
51,Stratified sampling (confidence),50,25,0.8021020408163265,0.7986734693877551
52,Anchor Points,50,25,0.9097306122448979,0.908734693877551
53,tinyBenchmarks,50,25,0.8048326530612245,0.8033795918367347
54,Random (uniform),50,50,0.8151183673469388,0.8147755102040817
55,"Random (subtask stratified, equal)",50,50,0.8100571428571428,0.8080816326530612
56,Diversity,50,50,0.8280408163265306,0.8268367346938775
57,Stratified sampling (confidence),50,50,0.8546938775510204,0.8544693877551021
58,Anchor Points,50,50,0.9206204081632653,0.9195591836734693
59,tinyBenchmarks,50,50,0.8621714285714286,0.8603591836734694
60,Random (uniform),50,100,0.8705306122448979,0.8693061224489796
61,"Random (subtask stratified, equal)",50,100,0.8620897959183673,0.8581551020408164
62,Diversity,50,100,0.8718571428571429,0.8692040816326531
63,Stratified sampling (confidence),50,100,0.8846530612244898,0.8826530612244898
64,Anchor Points,50,100,0.9258122448979592,0.9248163265306123
65,tinyBenchmarks,50,100,0.896,0.8927510204081632
66,Random (uniform),50,250,0.9181224489795918,0.9145632653061224
67,"Random (subtask stratified, equal)",50,250,0.9151183673469387,0.9111183673469387
68,Diversity,50,250,0.9182040816326531,0.914
69,Stratified sampling (confidence),50,250,0.9263673469387755,0.9214285714285714
70,Anchor Points,50,250,0.9308734693877551,0.9300408163265306
71,tinyBenchmarks,50,250,0.9328816326530612,0.9292897959183674
72,Random (uniform),50,500,0.944538775510204,0.939461224489796
73,"Random (subtask stratified, equal)",50,500,0.9394775510204082,0.933795918367347
74,Diversity,50,500,0.9433061224489796,0.937795918367347
75,Stratified sampling (confidence),50,500,0.9501020408163265,0.9439387755102041
76,Anchor Points,50,500,0.9326040816326531,0.9315428571428571
77,tinyBenchmarks,50,500,0.9494367346938776,0.946204081632653
78,Random (uniform),50,1000,0.9642448979591837,0.9563918367346939
79,"Random (subtask stratified, equal)",50,1000,0.9584979591836734,0.9518367346938775
80,Diversity,50,1000,0.9621632653061224,0.9559183673469388
81,Stratified sampling (confidence),50,1000,0.964,0.9563673469387756
82,Anchor Points,50,1000,0.9328163265306122,0.931004081632653
83,tinyBenchmarks,50,1000,0.9642938775510204,0.9576489795918367
84,Random (uniform),100,10,0.5998367346938775,0.5995265306122449
85,"Random (subtask stratified, equal)",100,10,0.5799510204081633,0.5795591836734694
86,Diversity,100,10,0.6472244897959184,0.6463469387755102
87,Stratified sampling (confidence),100,10,0.7183265306122449,0.7169183673469388
88,Anchor Points,100,10,0.8938285714285714,0.8921142857142857
89,tinyBenchmarks,100,10,0.6946285714285715,0.6941224489795919
90,Random (uniform),100,25,0.732669387755102,0.7309551020408164
91,"Random (subtask stratified, equal)",100,25,0.7304979591836734,0.7284897959183674
92,Diversity,100,25,0.7563673469387755,0.7564081632653061
93,Stratified sampling (confidence),100,25,0.7980408163265306,0.7973673469387755
94,Anchor Points,100,25,0.9151673469387755,0.9137469387755102
95,tinyBenchmarks,100,25,0.8072979591836734,0.8058122448979592
96,Random (uniform),100,50,0.8203918367346938,0.8177795918367347
97,"Random (subtask stratified, equal)",100,50,0.8144326530612245,0.8144326530612245
98,Diversity,100,50,0.811734693877551,0.8107551020408164
99,Stratified sampling (confidence),100,50,0.842204081632653,0.8420816326530612
100,Anchor Points,100,50,0.9248,0.9230530612244898
101,tinyBenchmarks,100,50,0.8618122448979592,0.8600163265306122
102,Random (uniform),100,100,0.869861224489796,0.8672489795918368
103,"Random (subtask stratified, equal)",100,100,0.8624,0.8629877551020408
104,Diversity,100,100,0.8679183673469387,0.8652244897959184
105,Stratified sampling (confidence),100,100,0.8910408163265306,0.8892448979591837
106,Anchor Points,100,100,0.9305632653061224,0.9284571428571429
107,tinyBenchmarks,100,100,0.9042938775510204,0.9009959183673469
108,Random (uniform),100,250,0.9183836734693878,0.9142530612244898
109,"Random (subtask stratified, equal)",100,250,0.9154775510204082,0.9112163265306122
110,Diversity,100,250,0.9155102040816326,0.9115714285714286
111,Stratified sampling (confidence),100,250,0.9291020408163265,0.9243061224489796
112,Anchor Points,100,250,0.933469387755102,0.9319183673469388
113,tinyBenchmarks,100,250,0.9365877551020408,0.932669387755102
114,Random (uniform),100,500,0.9467918367346939,0.9404571428571429
115,"Random (subtask stratified, equal)",100,500,0.9378775510204082,0.9346775510204082
116,Diversity,100,500,0.9439795918367347,0.9380408163265306
117,Stratified sampling (confidence),100,500,0.9508367346938775,0.9458367346938775
118,Anchor Points,100,500,0.9344163265306122,0.9329632653061225
119,tinyBenchmarks,100,500,0.9505142857142858,0.9452897959183674
120,Random (uniform),100,1000,0.9607020408163265,0.9530285714285714
121,"Random (subtask stratified, equal)",100,1000,0.9553959183673469,0.9483265306122449
122,Diversity,100,1000,0.9604489795918367,0.9513265306122449
123,Stratified sampling (confidence),100,1000,0.9656122448979592,0.9582857142857143
124,Anchor Points,100,1000,0.9340081632653061,0.9324571428571429
125,tinyBenchmarks,100,1000,0.9657469387755102,0.9583836734693878
126,Random (uniform),150,10,0.5976,0.5965714285714285
127,"Random (subtask stratified, equal)",150,10,0.5876734693877551,0.5871510204081632
128,Diversity,150,10,0.6277959183673469,0.6258775510204082
129,Stratified sampling (confidence),150,10,0.666734693877551,0.6646122448979592
130,Anchor Points,150,10,0.8941714285714286,0.892734693877551
131,tinyBenchmarks,150,10,0.7132734693877552,0.7119020408163266
132,Random (uniform),150,25,0.7327183673469387,0.7307102040816327
133,"Random (subtask stratified, equal)",150,25,0.7370938775510204,0.736130612244898
134,Diversity,150,25,0.7426938775510205,0.7413061224489796
135,Stratified sampling (confidence),150,25,0.7767551020408163,0.7768571428571428
136,Anchor Points,150,25,0.9125387755102041,0.9104489795918367
137,tinyBenchmarks,150,25,0.8112326530612245,0.8087183673469388
138,Random (uniform),150,50,0.8101224489795918,0.8079510204081632
139,"Random (subtask stratified, equal)",150,50,0.8034122448979591,0.8025795918367347
140,Diversity,150,50,0.8204285714285714,0.8191428571428572
141,Stratified sampling (confidence),150,50,0.8398775510204082,0.8401428571428572
142,Anchor Points,150,50,0.9203591836734694,0.9198693877551021
143,tinyBenchmarks,150,50,0.8525877551020408,0.8500571428571428
144,Random (uniform),150,100,0.8681632653061224,0.8666448979591836
145,"Random (subtask stratified, equal)",150,100,0.8612081632653061,0.8581714285714286
146,Diversity,150,100,0.8685510204081632,0.8651020408163266
147,Stratified sampling (confidence),150,100,0.8789795918367347,0.876061224489796
148,Anchor Points,150,100,0.9273469387755102,0.9267265306122449
149,tinyBenchmarks,150,100,0.8974367346938775,0.8943836734693877
150,Random (uniform),150,250,0.9186775510204082,0.9144326530612245
151,"Random (subtask stratified, equal)",150,250,0.9090775510204082,0.905795918367347
152,Diversity,150,250,0.9126122448979592,0.9083877551020408
153,Stratified sampling (confidence),150,250,0.9201632653061225,0.9147755102040817
154,Anchor Points,150,250,0.9301551020408163,0.929665306122449
155,tinyBenchmarks,150,250,0.9333061224489796,0.9296
156,Random (uniform),150,500,0.9433632653061225,0.9375346938775511
157,"Random (subtask stratified, equal)",150,500,0.9366530612244898,0.9306938775510204
158,Diversity,150,500,0.9418571428571428,0.933734693877551
159,Stratified sampling (confidence),150,500,0.9483877551020408,0.9402857142857143
160,Anchor Points,150,500,0.9309061224489796,0.9300897959183674
161,tinyBenchmarks,150,500,0.9517714285714286,0.9461551020408163
162,Random (uniform),150,1000,0.9633795918367347,0.954530612244898
163,"Random (subtask stratified, equal)",150,1000,0.9538285714285715,0.9465795918367347
164,Diversity,150,1000,0.958469387755102,0.9501224489795919
165,Stratified sampling (confidence),150,1000,0.9629183673469388,0.9548367346938775
166,Anchor Points,150,1000,0.9314775510204082,0.9305959183673469
167,tinyBenchmarks,150,1000,0.965730612244898,0.9587265306122449
168,Random (uniform),200,10,0.6000326530612244,0.5993795918367347
169,"Random (subtask stratified, equal)",200,10,0.6019755102040817,0.6015020408163265
170,Diversity,200,10,0.6272244897959184,0.6277959183673469
171,Stratified sampling (confidence),200,10,0.6767142857142857,0.6762244897959183
172,Anchor Points,200,10,0.8954612244897959,0.8936816326530612
173,tinyBenchmarks,200,10,0.7217959183673469,0.7216326530612245
174,Random (uniform),200,25,0.7561959183673469,0.7547755102040816
175,"Random (subtask stratified, equal)",200,25,0.7176163265306122,0.7166857142857143
176,Diversity,200,25,0.760265306122449,0.7587551020408163
177,Stratified sampling (confidence),200,25,0.782734693877551,0.7810612244897959
178,Anchor Points,200,25,0.9122938775510204,0.9112326530612245
179,tinyBenchmarks,200,25,0.810334693877551,0.8094367346938776
180,Random (uniform),200,50,0.8140734693877552,0.8136979591836735
181,"Random (subtask stratified, equal)",200,50,0.8058285714285714,0.8036244897959184
182,Diversity,200,50,0.8228775510204082,0.8221428571428572
183,Stratified sampling (confidence),200,50,0.8500612244897959,0.8486938775510204
184,Anchor Points,200,50,0.920065306122449,0.9191673469387756
185,tinyBenchmarks,200,50,0.861534693877551,0.8589061224489796
186,Random (uniform),200,100,0.8678204081632653,0.8652734693877551
187,"Random (subtask stratified, equal)",200,100,0.8637224489795918,0.8620734693877551
188,Diversity,200,100,0.871,0.8674897959183674
189,Stratified sampling (confidence),200,100,0.8823469387755102,0.8798163265306123
190,Anchor Points,200,100,0.9256163265306122,0.9251428571428572
191,tinyBenchmarks,200,100,0.8954938775510204,0.8928326530612245
192,Random (uniform),200,250,0.9140571428571429,0.9102857142857143
193,"Random (subtask stratified, equal)",200,250,0.9140897959183674,0.909665306122449
194,Diversity,200,250,0.9149387755102041,0.9112448979591836
195,Stratified sampling (confidence),200,250,0.9245714285714286,0.9203673469387755
196,Anchor Points,200,250,0.9303183673469387,0.9293551020408163
197,tinyBenchmarks,200,250,0.9312816326530612,0.9257795918367346
198,Random (uniform),200,500,0.9419755102040817,0.9366367346938775
199,"Random (subtask stratified, equal)",200,500,0.9379102040816326,0.9330448979591837
200,Diversity,200,500,0.9426326530612245,0.9377551020408164
201,Stratified sampling (confidence),200,500,0.948204081632653,0.9417551020408164
202,Anchor Points,200,500,0.9303020408163265,0.9292408163265307
203,tinyBenchmarks,200,500,0.9492897959183674,0.943265306122449
204,Random (uniform),200,1000,0.9626938775510204,0.9547918367346939
205,"Random (subtask stratified, equal)",200,1000,0.9559673469387755,0.9477714285714286
206,Diversity,200,1000,0.959469387755102,0.9528979591836735
207,Stratified sampling (confidence),200,1000,0.9631020408163266,0.9554489795918367
208,Anchor Points,200,1000,0.930269387755102,0.9296
209,tinyBenchmarks,200,1000,0.9638530612244898,0.9566204081632653
210,Random (uniform),250,10,0.6131918367346939,0.6136816326530612
211,"Random (subtask stratified, equal)",250,10,0.5798040816326531,0.5781387755102041
212,Diversity,250,10,0.6562040816326531,0.6553877551020408
213,Stratified sampling (confidence),250,10,0.6585918367346939,0.6582653061224489
214,Anchor Points,250,10,0.893534693877551,0.894138775510204
215,tinyBenchmarks,250,10,0.721665306122449,0.7187265306122449
216,Random (uniform),250,25,0.7440326530612245,0.7423673469387755
217,"Random (subtask stratified, equal)",250,25,0.7192489795918368,0.7171591836734694
218,Diversity,250,25,0.7620816326530612,0.7618367346938776
219,Stratified sampling (confidence),250,25,0.7844081632653062,0.7828775510204081
220,Anchor Points,250,25,0.9100408163265307,0.909795918367347
221,tinyBenchmarks,250,25,0.808865306122449,0.8081469387755102
222,Random (uniform),250,50,0.8038367346938775,0.8015020408163265
223,"Random (subtask stratified, equal)",250,50,0.8028897959183674,0.8014857142857142
224,Diversity,250,50,0.8324489795918367,0.8289795918367346
225,Stratified sampling (confidence),250,50,0.8399795918367347,0.8398775510204082
226,Anchor Points,250,50,0.9199836734693878,0.918530612244898
227,tinyBenchmarks,250,50,0.8487183673469387,0.8464
228,Random (uniform),250,100,0.8667755102040816,0.8628734693877551
229,"Random (subtask stratified, equal)",250,100,0.8650448979591837,0.8608326530612245
230,Diversity,250,100,0.8707755102040816,0.8674693877551021
231,Stratified sampling (confidence),250,100,0.8821020408163265,0.8793265306122449
232,Anchor Points,250,100,0.9262040816326531,0.925665306122449
233,tinyBenchmarks,250,100,0.894595918367347,0.8909877551020409
234,Random (uniform),250,250,0.9150367346938776,0.9101387755102041
235,"Random (subtask stratified, equal)",250,250,0.9067918367346939,0.9015510204081633
236,Diversity,250,250,0.9159795918367347,0.9112653061224489
237,Stratified sampling (confidence),250,250,0.9213061224489796,0.9184897959183673
238,Anchor Points,250,250,0.9304816326530613,0.9292571428571429
239,tinyBenchmarks,250,250,0.9309714285714286,0.9267591836734694
240,Random (uniform),250,500,0.9425632653061224,0.9373224489795918
241,"Random (subtask stratified, equal)",250,500,0.9339755102040816,0.929795918367347
242,Diversity,250,500,0.9412244897959183,0.9343265306122449
243,Stratified sampling (confidence),250,500,0.942204081632653,0.936
244,Anchor Points,250,500,0.9304326530612245,0.9302204081632653
245,tinyBenchmarks,250,500,0.9478040816326531,0.9385469387755102
246,Random (uniform),250,1000,0.9578938775510204,0.9503183673469388
247,"Random (subtask stratified, equal)",250,1000,0.9534367346938776,0.9457795918367347
248,Diversity,250,1000,0.9607755102040816,0.9524897959183674
249,Stratified sampling (confidence),250,1000,0.962,0.9551224489795919
250,Anchor Points,250,1000,0.9305632653061224,0.9300571428571428
251,tinyBenchmarks,250,1000,0.9632,0.9528816326530613
252,Random (uniform),300,10,0.620669387755102,0.6197224489795918
253,"Random (subtask stratified, equal)",300,10,0.5940897959183673,0.5925877551020409
254,Diversity,300,10,0.6425714285714286,0.6399591836734694
255,Stratified sampling (confidence),300,10,0.6967142857142857,0.6965918367346938
256,Anchor Points,300,10,0.8984,0.8979591836734694
257,tinyBenchmarks,300,10,0.7199183673469388,0.7186285714285714
258,Random (uniform),300,25,0.7410448979591837,0.7405387755102041
259,"Random (subtask stratified, equal)",300,25,0.7166367346938776,0.7158040816326531
260,Diversity,300,25,0.7483469387755102,0.747734693877551
261,Stratified sampling (confidence),300,25,0.7883673469387755,0.7865714285714286
262,Anchor Points,300,25,0.9135510204081633,0.9123591836734694
263,tinyBenchmarks,300,25,0.808538775510204,0.8068244897959184
264,Random (uniform),300,50,0.8138448979591837,0.8116244897959184
265,"Random (subtask stratified, equal)",300,50,0.8069387755102041,0.8048489795918368
266,Diversity,300,50,0.8193061224489796,0.8166122448979591
267,Stratified sampling (confidence),300,50,0.8501224489795919,0.8475510204081632
268,Anchor Points,300,50,0.9226612244897959,0.921338775510204
269,tinyBenchmarks,300,50,0.8553632653061225,0.8539755102040816
270,Random (uniform),300,100,0.8656326530612245,0.8633632653061224
271,"Random (subtask stratified, equal)",300,100,0.8609959183673469,0.858334693877551
272,Diversity,300,100,0.8705714285714286,0.8660816326530613
273,Stratified sampling (confidence),300,100,0.8874489795918368,0.8826734693877551
274,Anchor Points,300,100,0.9288979591836735,0.9271836734693878
275,tinyBenchmarks,300,100,0.8911346938775511,0.8888489795918367
276,Random (uniform),300,250,0.9150204081632654,0.9118857142857143
277,"Random (subtask stratified, equal)",300,250,0.911069387755102,0.9078530612244898
278,Diversity,300,250,0.9146734693877551,0.909530612244898
279,Stratified sampling (confidence),300,250,0.9266122448979592,0.9221428571428572
280,Anchor Points,300,250,0.9315591836734693,0.930269387755102
281,tinyBenchmarks,300,250,0.9307591836734694,0.9261551020408163
282,Random (uniform),300,500,0.9444571428571429,0.9392489795918367
283,"Random (subtask stratified, equal)",300,500,0.9354448979591836,0.9307265306122449
284,Diversity,300,500,0.9429387755102041,0.9348979591836735
285,Stratified sampling (confidence),300,500,0.9440204081632653,0.9378367346938775
286,Anchor Points,300,500,0.9330612244897959,0.9315428571428571
287,tinyBenchmarks,300,500,0.9496979591836735,0.9433795918367347
288,Random (uniform),300,1000,0.9616489795918367,0.9526857142857142
289,"Random (subtask stratified, equal)",300,1000,0.9534530612244898,0.9474285714285714
290,Diversity,300,1000,0.9609387755102041,0.9521836734693877
291,Stratified sampling (confidence),300,1000,0.9643061224489796,0.9553877551020408
292,Anchor Points,300,1000,0.9336489795918367,0.932
293,tinyBenchmarks,300,1000,0.9605714285714285,0.952734693877551
