,Technique,Number of source models,Fraction of sampled points,Average correctness seen (mean),Average correctness unseen (mean)
48,Random (uniform),50,25,0.7525714285714286,0.7524897959183674
49,"Random (subtask stratified, equal)",50,25,0.7369959183673469,0.7358040816326531
50,Diversity,50,25,0.7603673469387755,0.7591632653061224
51,Stratified sampling (confidence),50,25,0.8021020408163265,0.7986734693877551
52,Anchor Points,50,25,0.9043755102040816,0.9032163265306122
53,tinyBenchmarks,50,25,0.8112979591836734,0.8112489795918367
54,Random (uniform),50,50,0.8288979591836735,0.8271510204081632
55,"Random (subtask stratified, equal)",50,50,0.8242448979591837,0.8218938775510204
56,Diversity,50,50,0.8280408163265306,0.8268367346938775
57,Stratified sampling (confidence),50,50,0.8546938775510204,0.8544693877551021
58,Anchor Points,50,50,0.9167183673469388,0.9160489795918367
59,tinyBenchmarks,50,50,0.865665306122449,0.8644081632653061
60,Random (uniform),50,100,0.8772571428571428,0.8751673469387755
61,"Random (subtask stratified, equal)",50,100,0.8720816326530613,0.8678530612244898
62,Diversity,50,100,0.8718571428571429,0.8692040816326531
63,Stratified sampling (confidence),50,100,0.8846530612244898,0.8826530612244898
64,Anchor Points,50,100,0.9221551020408163,0.9217469387755102
65,tinyBenchmarks,50,100,0.900065306122449,0.8969795918367347
66,Random (uniform),50,250,0.9207020408163266,0.9177469387755102
67,"Random (subtask stratified, equal)",50,250,0.9186122448979592,0.914465306122449
68,Diversity,50,250,0.9182040816326531,0.914
69,Stratified sampling (confidence),50,250,0.9263673469387755,0.9214285714285714
70,Anchor Points,50,250,0.9276081632653062,0.9274285714285714
71,tinyBenchmarks,50,250,0.9368979591836735,0.9336326530612244
72,Random (uniform),50,500,0.9459591836734694,0.9401142857142857
73,"Random (subtask stratified, equal)",50,500,0.9421387755102041,0.9369469387755102
74,Diversity,50,500,0.9433061224489796,0.937795918367347
75,Stratified sampling (confidence),50,500,0.9501020408163265,0.9439387755102041
76,Anchor Points,50,500,0.9296326530612244,0.9291265306122449
77,tinyBenchmarks,50,500,0.950465306122449,0.9476734693877551
78,Random (uniform),50,1000,0.9645877551020409,0.9569632653061224
79,"Random (subtask stratified, equal)",50,1000,0.960065306122449,0.954465306122449
80,Diversity,50,1000,0.9621632653061224,0.9559183673469388
81,Stratified sampling (confidence),50,1000,0.964,0.9563673469387756
82,Anchor Points,50,1000,0.929926530612245,0.9286040816326531
83,tinyBenchmarks,50,1000,0.964865306122449,0.9588571428571429
84,Random (uniform),100,10,0.6244081632653061,0.6238367346938776
85,"Random (subtask stratified, equal)",100,10,0.599265306122449,0.598334693877551
86,Diversity,100,10,0.6472244897959184,0.6463469387755102
87,Stratified sampling (confidence),100,10,0.7183265306122449,0.7169183673469388
88,Anchor Points,100,10,0.890334693877551,0.8894530612244897
89,tinyBenchmarks,100,10,0.7095836734693878,0.7091428571428572
90,Random (uniform),100,25,0.7394612244897959,0.738334693877551
91,"Random (subtask stratified, equal)",100,25,0.7417142857142857,0.7396244897959183
92,Diversity,100,25,0.7563673469387755,0.7564081632653061
93,Stratified sampling (confidence),100,25,0.7980408163265306,0.7973673469387755
94,Anchor Points,100,25,0.9124571428571429,0.911804081632653
95,tinyBenchmarks,100,25,0.82,0.8190204081632653
96,Random (uniform),100,50,0.8281306122448979,0.8257959183673469
97,"Random (subtask stratified, equal)",100,50,0.8265795918367347,0.8255673469387755
98,Diversity,100,50,0.811734693877551,0.8107551020408164
99,Stratified sampling (confidence),100,50,0.842204081632653,0.8420816326530612
100,Anchor Points,100,50,0.9229877551020408,0.9221714285714285
101,tinyBenchmarks,100,50,0.8711510204081633,0.8697795918367347
102,Random (uniform),100,100,0.8777632653061225,0.875069387755102
103,"Random (subtask stratified, equal)",100,100,0.8733387755102041,0.8747265306122449
104,Diversity,100,100,0.8679183673469387,0.8652244897959184
105,Stratified sampling (confidence),100,100,0.8910408163265306,0.8892448979591837
106,Anchor Points,100,100,0.9297795918367346,0.928734693877551
107,tinyBenchmarks,100,100,0.9098775510204081,0.9066122448979592
108,Random (uniform),100,250,0.9256163265306122,0.9220734693877551
109,"Random (subtask stratified, equal)",100,250,0.9226775510204082,0.9183510204081633
110,Diversity,100,250,0.9155102040816326,0.9115714285714286
111,Stratified sampling (confidence),100,250,0.9291020408163265,0.9243061224489796
112,Anchor Points,100,250,0.9325714285714286,0.9318204081632653
113,tinyBenchmarks,100,250,0.9391836734693878,0.9363918367346938
114,Random (uniform),100,500,0.9484571428571429,0.9425632653061224
115,"Random (subtask stratified, equal)",100,500,0.9423510204081633,0.9387102040816326
116,Diversity,100,500,0.9439795918367347,0.9380408163265306
117,Stratified sampling (confidence),100,500,0.9508367346938775,0.9458367346938775
118,Anchor Points,100,500,0.9342040816326531,0.9334530612244898
119,tinyBenchmarks,100,500,0.953126530612245,0.9470367346938775
120,Random (uniform),100,1000,0.9637551020408164,0.9548081632653062
121,"Random (subtask stratified, equal)",100,1000,0.9590367346938775,0.9525877551020409
122,Diversity,100,1000,0.9604489795918367,0.9513265306122449
123,Stratified sampling (confidence),100,1000,0.9656122448979592,0.9582857142857143
124,Anchor Points,100,1000,0.9337469387755102,0.9328979591836735
125,tinyBenchmarks,100,1000,0.9665795918367347,0.9582857142857143
126,Random (uniform),150,10,0.6034448979591837,0.6020897959183673
127,"Random (subtask stratified, equal)",150,10,0.6051428571428571,0.6047020408163265
128,Diversity,150,10,0.6277959183673469,0.6258775510204082
129,Stratified sampling (confidence),150,10,0.666734693877551,0.6646122448979592
130,Anchor Points,150,10,0.8860571428571429,0.8846204081632653
131,tinyBenchmarks,150,10,0.7295183673469388,0.7286204081632653
132,Random (uniform),150,25,0.7380897959183673,0.7370775510204082
133,"Random (subtask stratified, equal)",150,25,0.7412408163265306,0.7407510204081633
134,Diversity,150,25,0.7426938775510205,0.7413061224489796
135,Stratified sampling (confidence),150,25,0.7767551020408163,0.7768571428571428
136,Anchor Points,150,25,0.9057632653061225,0.9043591836734693
137,tinyBenchmarks,150,25,0.8153632653061225,0.8127020408163266
138,Random (uniform),150,50,0.8151836734693878,0.8132244897959183
139,"Random (subtask stratified, equal)",150,50,0.8175020408163265,0.8162285714285714
140,Diversity,150,50,0.8204285714285714,0.8191428571428572
141,Stratified sampling (confidence),150,50,0.8398775510204082,0.8401428571428572
142,Anchor Points,150,50,0.9137469387755102,0.9129632653061225
143,tinyBenchmarks,150,50,0.8615020408163265,0.8592979591836735
144,Random (uniform),150,100,0.867869387755102,0.8668244897959184
145,"Random (subtask stratified, equal)",150,100,0.8682122448979592,0.8657795918367347
146,Diversity,150,100,0.8685510204081632,0.8651020408163266
147,Stratified sampling (confidence),150,100,0.8789795918367347,0.876061224489796
148,Anchor Points,150,100,0.9221224489795918,0.9213714285714286
149,tinyBenchmarks,150,100,0.8984,0.8962285714285714
150,Random (uniform),150,250,0.919804081632653,0.9156734693877551
151,"Random (subtask stratified, equal)",150,250,0.9111673469387755,0.9090775510204082
152,Diversity,150,250,0.9126122448979592,0.9083877551020408
153,Stratified sampling (confidence),150,250,0.9201632653061225,0.9147755102040817
154,Anchor Points,150,250,0.9261551020408163,0.9257632653061224
155,tinyBenchmarks,150,250,0.9336326530612244,0.930530612244898
156,Random (uniform),150,500,0.9440979591836735,0.9386448979591837
157,"Random (subtask stratified, equal)",150,500,0.9387428571428571,0.9324408163265306
158,Diversity,150,500,0.9418571428571428,0.933734693877551
159,Stratified sampling (confidence),150,500,0.9483877551020408,0.9402857142857143
160,Anchor Points,150,500,0.9273632653061225,0.9265795918367347
161,tinyBenchmarks,150,500,0.9521142857142857,0.946204081632653
162,Random (uniform),150,1000,0.9631020408163266,0.9536816326530613
163,"Random (subtask stratified, equal)",150,1000,0.9547591836734693,0.9468734693877551
164,Diversity,150,1000,0.958469387755102,0.9501224489795919
165,Stratified sampling (confidence),150,1000,0.9629183673469388,0.9548367346938775
166,Anchor Points,150,1000,0.9283591836734694,0.9274448979591837
167,tinyBenchmarks,150,1000,0.9647836734693878,0.9577959183673469
168,Random (uniform),200,10,0.6120489795918367,0.610938775510204
169,"Random (subtask stratified, equal)",200,10,0.6216326530612245,0.6209142857142858
170,Diversity,200,10,0.6272244897959184,0.6277959183673469
171,Stratified sampling (confidence),200,10,0.6767142857142857,0.6762244897959183
172,Anchor Points,200,10,0.889061224489796,0.8875918367346939
173,tinyBenchmarks,200,10,0.7365714285714285,0.7360979591836735
174,Random (uniform),200,25,0.761061224489796,0.7590040816326531
175,"Random (subtask stratified, equal)",200,25,0.7327183673469387,0.7325061224489796
176,Diversity,200,25,0.760265306122449,0.7587551020408163
177,Stratified sampling (confidence),200,25,0.782734693877551,0.7810612244897959
178,Anchor Points,200,25,0.9071020408163265,0.9061877551020409
179,tinyBenchmarks,200,25,0.8203428571428572,0.8188081632653061
180,Random (uniform),200,50,0.8255510204081633,0.8250938775510204
181,"Random (subtask stratified, equal)",200,50,0.8175510204081633,0.8154775510204082
182,Diversity,200,50,0.8228775510204082,0.8221428571428572
183,Stratified sampling (confidence),200,50,0.8500612244897959,0.8486938775510204
184,Anchor Points,200,50,0.9158857142857143,0.915004081632653
185,tinyBenchmarks,200,50,0.8677061224489796,0.8644571428571428
186,Random (uniform),200,100,0.8769469387755102,0.8734367346938775
187,"Random (subtask stratified, equal)",200,100,0.873404081632653,0.8710204081632653
188,Diversity,200,100,0.871,0.8674897959183674
189,Stratified sampling (confidence),200,100,0.8823469387755102,0.8798163265306123
190,Anchor Points,200,100,0.9215510204081633,0.9214530612244898
191,tinyBenchmarks,200,100,0.9000489795918367,0.8971265306122449
192,Random (uniform),200,250,0.9171918367346938,0.9140408163265306
193,"Random (subtask stratified, equal)",200,250,0.9193795918367347,0.9136163265306122
194,Diversity,200,250,0.9149387755102041,0.9112448979591836
195,Stratified sampling (confidence),200,250,0.9245714285714286,0.9203673469387755
196,Anchor Points,200,250,0.9264163265306122,0.9261224489795918
197,tinyBenchmarks,200,250,0.9342530612244898,0.9281469387755102
198,Random (uniform),200,500,0.9432979591836734,0.9370775510204081
199,"Random (subtask stratified, equal)",200,500,0.9403591836734694,0.9352163265306123
200,Diversity,200,500,0.9426326530612245,0.9377551020408164
201,Stratified sampling (confidence),200,500,0.948204081632653,0.9417551020408164
202,Anchor Points,200,500,0.927004081632653,0.9262204081632653
203,tinyBenchmarks,200,500,0.9509387755102041,0.9437061224489796
204,Random (uniform),200,1000,0.9633306122448979,0.9552816326530612
205,"Random (subtask stratified, equal)",200,1000,0.9565714285714285,0.9488326530612244
206,Diversity,200,1000,0.959469387755102,0.9528979591836735
207,Stratified sampling (confidence),200,1000,0.9631020408163266,0.9554489795918367
208,Anchor Points,200,1000,0.927004081632653,0.9268408163265306
209,tinyBenchmarks,200,1000,0.9642775510204081,0.9562775510204081
210,Random (uniform),250,10,0.6262367346938775,0.6275918367346939
211,"Random (subtask stratified, equal)",250,10,0.6023183673469388,0.6016
212,Diversity,250,10,0.6562040816326531,0.6553877551020408
213,Stratified sampling (confidence),250,10,0.6585918367346939,0.6582653061224489
214,Anchor Points,250,10,0.891869387755102,0.8918204081632654
215,tinyBenchmarks,250,10,0.7351183673469388,0.7333714285714286
216,Random (uniform),250,25,0.763330612244898,0.7637714285714285
217,"Random (subtask stratified, equal)",250,25,0.7333387755102041,0.732065306122449
218,Diversity,250,25,0.7620816326530612,0.7618367346938776
219,Stratified sampling (confidence),250,25,0.7844081632653062,0.7828775510204081
220,Anchor Points,250,25,0.9099918367346939,0.9084408163265306
221,tinyBenchmarks,250,25,0.8196244897959184,0.8181551020408163
222,Random (uniform),250,50,0.8188408163265306,0.8170775510204081
223,"Random (subtask stratified, equal)",250,50,0.8163918367346938,0.815461224489796
224,Diversity,250,50,0.8324489795918367,0.8289795918367346
225,Stratified sampling (confidence),250,50,0.8399795918367347,0.8398775510204082
226,Anchor Points,250,50,0.9197877551020408,0.9181714285714285
227,tinyBenchmarks,250,50,0.8551183673469388,0.8527673469387755
228,Random (uniform),250,100,0.8761959183673469,0.8732244897959184
229,"Random (subtask stratified, equal)",250,100,0.873861224489796,0.8706122448979592
230,Diversity,250,100,0.8707755102040816,0.8674693877551021
231,Stratified sampling (confidence),250,100,0.8821020408163265,0.8793265306122449
232,Anchor Points,250,100,0.9251265306122449,0.9243918367346938
233,tinyBenchmarks,250,100,0.9010448979591836,0.897795918367347
234,Random (uniform),250,250,0.9202448979591836,0.9167183673469388
235,"Random (subtask stratified, equal)",250,250,0.9157877551020408,0.9120326530612245
236,Diversity,250,250,0.9159795918367347,0.9112653061224489
237,Stratified sampling (confidence),250,250,0.9213061224489796,0.9184897959183673
238,Anchor Points,250,250,0.930334693877551,0.9283591836734694
239,tinyBenchmarks,250,250,0.9358367346938775,0.9305959183673469
240,Random (uniform),250,500,0.944,0.9397551020408164
241,"Random (subtask stratified, equal)",250,500,0.9415020408163265,0.9366367346938775
242,Diversity,250,500,0.9412244897959183,0.9343265306122449
243,Stratified sampling (confidence),250,500,0.942204081632653,0.936
244,Anchor Points,250,500,0.9299591836734694,0.928865306122449
245,tinyBenchmarks,250,500,0.9508081632653061,0.9426285714285715
246,Random (uniform),250,1000,0.9597061224489796,0.9519183673469388
247,"Random (subtask stratified, equal)",250,1000,0.9564571428571429,0.9500244897959184
248,Diversity,250,1000,0.9607755102040816,0.9524897959183674
249,Stratified sampling (confidence),250,1000,0.962,0.9551224489795919
250,Anchor Points,250,1000,0.9306448979591837,0.9291265306122449
251,tinyBenchmarks,250,1000,0.9645877551020409,0.9559836734693877
252,Random (uniform),300,10,0.6333224489795919,0.6329142857142858
253,"Random (subtask stratified, equal)",300,10,0.6072,0.6051265306122449
254,Diversity,300,10,0.6425714285714286,0.6399591836734694
255,Stratified sampling (confidence),300,10,0.6967142857142857,0.6965918367346938
256,Anchor Points,300,10,0.8927673469387755,0.8930122448979592
257,tinyBenchmarks,300,10,0.734204081632653,0.733404081632653
258,Random (uniform),300,25,0.7456979591836734,0.744473469387755
259,"Random (subtask stratified, equal)",300,25,0.7288979591836735,0.728065306122449
260,Diversity,300,25,0.7483469387755102,0.747734693877551
261,Stratified sampling (confidence),300,25,0.7883673469387755,0.7865714285714286
262,Anchor Points,300,25,0.9095510204081633,0.9090122448979592
263,tinyBenchmarks,300,25,0.8174204081632653,0.8162122448979592
264,Random (uniform),300,50,0.8234122448979592,0.8212408163265306
265,"Random (subtask stratified, equal)",300,50,0.82,0.8176979591836735
266,Diversity,300,50,0.8193061224489796,0.8166122448979591
267,Stratified sampling (confidence),300,50,0.8501224489795919,0.8475510204081632
268,Anchor Points,300,50,0.9199510204081632,0.9193795918367347
269,tinyBenchmarks,300,50,0.861665306122449,0.8602612244897959
270,Random (uniform),300,100,0.8710857142857142,0.869861224489796
271,"Random (subtask stratified, equal)",300,100,0.8716408163265306,0.8696
272,Diversity,300,100,0.8705714285714286,0.8660816326530613
273,Stratified sampling (confidence),300,100,0.8874489795918368,0.8826734693877551
274,Anchor Points,300,100,0.927265306122449,0.9260408163265306
275,tinyBenchmarks,300,100,0.8982040816326531,0.8971591836734694
276,Random (uniform),300,250,0.9209795918367347,0.9175183673469388
277,"Random (subtask stratified, equal)",300,250,0.9164734693877551,0.9131755102040816
278,Diversity,300,250,0.9146734693877551,0.909530612244898
279,Stratified sampling (confidence),300,250,0.9266122448979592,0.9221428571428572
280,Anchor Points,300,250,0.9301714285714285,0.9295673469387755
281,tinyBenchmarks,300,250,0.9354285714285714,0.931265306122449
282,Random (uniform),300,500,0.9465632653061224,0.9412571428571429
283,"Random (subtask stratified, equal)",300,500,0.9395102040816327,0.9350204081632653
284,Diversity,300,500,0.9429387755102041,0.9348979591836735
285,Stratified sampling (confidence),300,500,0.9440204081632653,0.9378367346938775
286,Anchor Points,300,500,0.932669387755102,0.9313142857142858
287,tinyBenchmarks,300,500,0.9527510204081633,0.9461714285714286
288,Random (uniform),300,1000,0.961469387755102,0.9534857142857143
289,"Random (subtask stratified, equal)",300,1000,0.9574530612244898,0.9511020408163265
290,Diversity,300,1000,0.9609387755102041,0.9521836734693877
291,Stratified sampling (confidence),300,1000,0.9643061224489796,0.9553877551020408
292,Anchor Points,300,1000,0.9329795918367347,0.9320816326530612
293,tinyBenchmarks,300,1000,0.9632816326530612,0.9545959183673469
