,Technique,Number of source models,Fraction of sampled points,Average correctness seen (mean),Average correctness unseen (mean)
76,Anchor Points,100,50,0.7553469387755102,0.6885714285714286
77,tinyBenchmarks,100,50,0.7066285714285714,0.6052244897959184
78,Random (uniform),100,100,0.7768326530612245,0.6324081632653061
79,"Random (subtask stratified, equal)",100,100,0.7891591836734694,0.6458122448979592
80,Diversity,100,100,0.769469387755102,0.6677755102040817
81,Stratified sampling (confidence),100,100,0.7969795918367347,0.6559183673469388
82,Anchor Points,100,100,0.780734693877551,0.694530612244898
83,tinyBenchmarks,100,100,0.7767020408163265,0.6442448979591837
84,Random (uniform),100,200,0.9128163265306123,0.6735020408163266
85,"Random (subtask stratified, equal)",100,200,0.913469387755102,0.6698938775510204
86,Diversity,100,200,0.8951428571428571,0.6457755102040816
87,Stratified sampling (confidence),100,200,0.9274285714285714,0.6871224489795918
88,Anchor Points,100,200,0.8308897959183673,0.7181387755102041
89,tinyBenchmarks,100,200,0.9143183673469387,0.6799020408163265
90,Random (uniform),150,10,0.5104816326530612,0.46608979591836736
91,"Random (subtask stratified, equal)",150,10,0.4910204081632653,0.45725714285714286
92,Diversity,150,10,0.5339387755102041,0.4954081632653061
93,Stratified sampling (confidence),150,10,0.5930612244897959,0.551795918367347
94,Anchor Points,150,10,0.6997877551020408,0.6681469387755102
95,tinyBenchmarks,150,10,0.5768489795918368,0.5283102040816327
96,Random (uniform),150,25,0.6026448979591836,0.5353142857142857
97,"Random (subtask stratified, equal)",150,25,0.5971755102040817,0.5352816326530613
98,Diversity,150,25,0.6388775510204082,0.5851020408163266
99,Stratified sampling (confidence),150,25,0.6601836734693878,0.6037142857142858
100,Anchor Points,150,25,0.7301061224489795,0.6862530612244898
101,tinyBenchmarks,150,25,0.6462857142857142,0.5786122448979591
102,Random (uniform),150,50,0.6776489795918368,0.5971102040816326
103,"Random (subtask stratified, equal)",150,50,0.6762285714285714,0.5815183673469387
104,Diversity,150,50,0.7145510204081633,0.6386122448979592
105,Stratified sampling (confidence),150,50,0.7334897959183674,0.6363469387755102
106,Anchor Points,150,50,0.7488489795918367,0.698465306122449
107,tinyBenchmarks,150,50,0.7059918367346939,0.6221551020408164
108,Random (uniform),150,100,0.7692081632653062,0.6384163265306122
109,"Random (subtask stratified, equal)",150,100,0.7778448979591837,0.6460081632653061
110,Diversity,150,100,0.7712448979591837,0.6709591836734694
111,Stratified sampling (confidence),150,100,0.8155714285714286,0.6834489795918367
112,Anchor Points,150,100,0.7771755102040816,0.716930612244898
113,tinyBenchmarks,150,100,0.7811591836734694,0.6615510204081633
114,Random (uniform),150,200,0.9124244897959184,0.6956408163265306
115,"Random (subtask stratified, equal)",150,200,0.9164897959183673,0.6951020408163265
116,Diversity,150,200,0.895734693877551,0.6681836734693878
117,Stratified sampling (confidence),150,200,0.9316530612244898,0.715204081632653
118,Anchor Points,150,200,0.8296163265306122,0.737534693877551
119,tinyBenchmarks,150,200,0.9126857142857143,0.7028408163265306
120,Random (uniform),200,10,0.48236734693877553,0.4385142857142857
121,"Random (subtask stratified, equal)",200,10,0.5095183673469388,0.47539591836734696
122,Diversity,200,10,0.5349387755102041,0.5075714285714286
123,Stratified sampling (confidence),200,10,0.5735714285714286,0.5388367346938776
124,Anchor Points,200,10,0.7147428571428571,0.6667755102040817
125,tinyBenchmarks,200,10,0.5936,0.5419428571428572
126,Random (uniform),200,25,0.5951020408163266,0.5201142857142858
127,"Random (subtask stratified, equal)",200,25,0.6115591836734694,0.539804081632653
128,Diversity,200,25,0.6481020408163265,0.5971428571428572
129,Stratified sampling (confidence),200,25,0.6491224489795918,0.5874081632653061
130,Anchor Points,200,25,0.7454693877551021,0.6913632653061225
131,tinyBenchmarks,200,25,0.666465306122449,0.5854204081632653
132,Random (uniform),200,50,0.678530612244898,0.584930612244898
133,"Random (subtask stratified, equal)",200,50,0.6645387755102041,0.5595591836734694
134,Diversity,200,50,0.7142448979591837,0.6365918367346939
135,Stratified sampling (confidence),200,50,0.7226326530612245,0.6138979591836735
136,Anchor Points,200,50,0.7592326530612244,0.7002612244897959
137,tinyBenchmarks,200,50,0.7179428571428571,0.6140408163265306
138,Random (uniform),200,100,0.7717877551020408,0.6264163265306123
139,"Random (subtask stratified, equal)",200,100,0.7779265306122449,0.630595918367347
140,Diversity,200,100,0.7699591836734694,0.6635102040816326
141,Stratified sampling (confidence),200,100,0.806530612244898,0.6528979591836734
142,Anchor Points,200,100,0.7851918367346938,0.708
143,tinyBenchmarks,200,100,0.7810775510204082,0.6510530612244898
144,Random (uniform),200,200,0.9113632653061224,0.673665306122449
145,"Random (subtask stratified, equal)",200,200,0.9118367346938776,0.6735510204081633
146,Diversity,200,200,0.8941020408163265,0.6398163265306123
147,Stratified sampling (confidence),200,200,0.93,0.6856938775510204
148,Anchor Points,200,200,0.8358857142857142,0.7240489795918368
149,tinyBenchmarks,200,200,0.9144326530612245,0.6848816326530612
150,Random (uniform),250,10,0.5057959183673469,0.4711836734693878
151,"Random (subtask stratified, equal)",250,10,0.5109877551020409,0.4731591836734694
152,Diversity,250,10,0.542,0.5141020408163265
153,Stratified sampling (confidence),250,10,0.5818775510204082,0.5513061224489796
154,Anchor Points,250,10,0.7086204081632653,0.6713632653061224
155,tinyBenchmarks,250,10,0.58,0.5299755102040816
156,Random (uniform),250,25,0.6167183673469387,0.5364734693877551
157,"Random (subtask stratified, equal)",250,25,0.5950367346938775,0.5158857142857143
158,Diversity,250,25,0.6537142857142857,0.6091836734693877
159,Stratified sampling (confidence),250,25,0.6514285714285715,0.5825918367346938
160,Anchor Points,250,25,0.7385469387755103,0.6861387755102041
161,tinyBenchmarks,250,25,0.6555102040816326,0.5836897959183673
162,Random (uniform),250,50,0.6879510204081632,0.5841795918367347
163,"Random (subtask stratified, equal)",250,50,0.6809632653061225,0.5823836734693878
164,Diversity,250,50,0.7192857142857143,0.6567142857142857
165,Stratified sampling (confidence),250,50,0.7223265306122449,0.6294489795918368
166,Anchor Points,250,50,0.7582857142857143,0.6975183673469387
167,tinyBenchmarks,250,50,0.7034285714285714,0.607738775510204
168,Random (uniform),250,100,0.7752489795918367,0.6476897959183674
169,"Random (subtask stratified, equal)",250,100,0.7747102040816326,0.6399510204081633
170,Diversity,250,100,0.7823673469387755,0.6869387755102041
171,Stratified sampling (confidence),250,100,0.8104489795918367,0.671469387755102
172,Anchor Points,250,100,0.7791836734693878,0.7069877551020408
173,tinyBenchmarks,250,100,0.7821551020408163,0.6599673469387755
174,Random (uniform),250,200,0.9112653061224489,0.6849469387755102
175,"Random (subtask stratified, equal)",250,200,0.9117877551020408,0.6872816326530612
176,Diversity,250,200,0.8905918367346939,0.664
177,Stratified sampling (confidence),250,200,0.9318571428571428,0.7108775510204082
178,Anchor Points,250,200,0.8343673469387755,0.725273469387755
179,tinyBenchmarks,250,200,0.9112816326530613,0.6899755102040817
180,Random (uniform),300,10,0.46641632653061227,0.44026122448979593
181,"Random (subtask stratified, equal)",300,10,0.5107428571428572,0.4738775510204082
182,Diversity,300,10,0.5322448979591837,0.493
183,Stratified sampling (confidence),300,10,0.5669591836734694,0.5289795918367347
184,Anchor Points,300,10,0.7085224489795918,0.6696326530612244
185,tinyBenchmarks,300,10,0.5888,0.5484734693877551
186,Random (uniform),300,25,0.5961306122448979,0.5367673469387755
187,"Random (subtask stratified, equal)",300,25,0.5861551020408163,0.5101714285714286
188,Diversity,300,25,0.6483469387755102,0.5871836734693877
189,Stratified sampling (confidence),300,25,0.6559183673469388,0.5874897959183674
190,Anchor Points,300,25,0.7319510204081633,0.6827102040816326
191,tinyBenchmarks,300,25,0.6539428571428572,0.5798040816326531
192,Random (uniform),300,50,0.671804081632653,0.5742204081632654
193,"Random (subtask stratified, equal)",300,50,0.6613551020408164,0.5533714285714286
194,Diversity,300,50,0.7122448979591837,0.645265306122449
195,Stratified sampling (confidence),300,50,0.7074489795918367,0.6130612244897959
196,Anchor Points,300,50,0.7460408163265306,0.6909224489795919
197,tinyBenchmarks,300,50,0.710334693877551,0.6159346938775511
198,Random (uniform),300,100,0.7770612244897959,0.6356244897959183
199,"Random (subtask stratified, equal)",300,100,0.7709877551020408,0.6314285714285715
200,Diversity,300,100,0.7660408163265306,0.6552244897959184
201,Stratified sampling (confidence),300,100,0.7938163265306123,0.6445510204081633
202,Anchor Points,300,100,0.764130612244898,0.6989877551020408
203,tinyBenchmarks,300,100,0.7718204081632654,0.6379102040816327
204,Random (uniform),300,200,0.9090448979591836,0.6709877551020408
205,"Random (subtask stratified, equal)",300,200,0.9109877551020408,0.6770938775510205
206,Diversity,300,200,0.8896122448979592,0.6449795918367347
207,Stratified sampling (confidence),300,200,0.930734693877551,0.6948775510204082
208,Anchor Points,300,200,0.8217632653061224,0.7188408163265306
209,tinyBenchmarks,300,200,0.9106938775510204,0.6850612244897959
